,Event ID,Concert Name,Date,Ticket Sale Status,Ticket Min Price,Ticket Max Price,Ticket Limitation,Venue ID
0,vvG1IZbFSkKfhJ,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-02,cancelled,201.5,564.75,There is an overall 6 ticket limit for this event.,KovZ917A-Tn
1,vvG1IZbFTpcNCA,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-03,cancelled,201.5,564.75,There is an overall 6 ticket limit for this event.,KovZ917A-Tn
2,vv170ZbFGkMDd4OB,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-09,cancelled,249.5,589.5,There is an overall 6 ticket limit for this event.,KovZpZAEkn6A
3,G5dIZbFwIrgO8,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-16,cancelled,189.5,499.5,There is an overall 6 ticket limit for this event.,KovZpZAJJEdA
4,vvG1YZbFSrWgPY,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-17,cancelled,149.5,491.5,There is an overall 6 ticket limit for this event.,KovZpZAJ67eA
5,vvG1VZbFU3Rv5A,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-20,cancelled,145.5,485.5,There is a six (6) ticket limit for this event.,KovZpZAJtFaA
6,vvG1VZbFX9ZdVo,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-21,cancelled,145.5,485.5,There is a six (6) ticket limit for this event.,KovZpZAJtFaA
7,G5eVZbFMbObre,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-23,cancelled,129.5,429.5,No Limit,KovZpZA6AEIA
8,1AvfZbFGkRnDJIs,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-25,cancelled,129.5,429.5,There is an overall 6 ticket limit for this event.,KovZpaKuJe
9,1AdZZbFGkww3sSf,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-12-05,cancelled,149.5,489.5,There is a 6 ticket limit on this event,KovZ917AtP3
10,1AYZke8GkdyGvh8,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-12-06,cancelled,149.5,489.5,There is a 6 ticket limit on this event,KovZ917AtP3
11,vv177ZbFGkwEuVoY,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-12-08,cancelled,119.5,399.5,There is an overall 6 ticket limit for this event.,KovZpa2gne
12,vv178ZbFGkR05dgA,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-12-14,cancelled,144.5,485.0,There is an overall 6 ticket limit for this event.,KovZpa2M7e
13,G5dVZbor9h-KC,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-03-12,onsale,599.0,6599.0,"Limitado a 8 boletos por comprador. Por favor revisa los detalles de cada tipo de boleto, ya que en ocasiones éstos pueden contar con un límite distinto.",KovZpZAEeI7A
14,G5dVZboLnUfWx,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-03-13,onsale,599.0,6599.0,"Limitado a 8 boletos por comprador. Por favor revisa los detalles de cada tipo de boleto, ya que en ocasiones éstos pueden contar con un límite distinto.",KovZpZAEeI7A
15,G5dVZbonKI-2s,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-03-16,onsale,998.0,6599.0,"Limitado a 8 boletos por comprador. Por favor revisa los detalles de cada tipo de boleto, ya que en ocasiones éstos pueden contar con un límite distinto.",KovZpZA6IlFA
16,G5dVZbonEToPC,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-03-17,onsale,998.0,6599.0,"Limitado a 8 boletos por comprador. Por favor revisa los detalles de cada tipo de boleto, ya que en ocasiones éstos pueden contar con un límite distinto.",KovZpZA6IlFA
17,15v8ZboQFCZP4,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-03-19,onsale,998.0,8899.0,"Limitado a 8 boletos por comprador. Por favor revisa los detalles de cada tipo de boleto, ya que en ocasiones éstos pueden contar con un límite distinto.",KovZpZAd1IaA
18,1kAZv-AIGA5jYJo,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-03-21,onsale,998.0,8899.0,"Limitado a 8 boletos por comprador. Por favor revisa los detalles de cada tipo de boleto, ya que en ocasiones éstos pueden contar con un límite distinto.",KovZpZAd1IaA
19,1kAZv-AIGA5q8JQ,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-03-23,onsale,998.0,8899.0,"Limitado a 8 boletos por comprador. Por favor revisa los detalles de cada tipo de boleto, ya que en ocasiones éstos pueden contar con un límite distinto.",KovZpZAd1IaA
