Event_ID,Concert_Name,Concert_Date,Ticket_Sale_Status,Ticket_Min_Price,Ticket_Max_Price,Ticket_Limitation,Venue_ID
vvG1IZbFSkKfhJ,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-02,cancelled,201.5,564.75,There is an overall 6 ticket limit for this event.,KovZ917A-Tn
vvG1IZbFTpcNCA,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-03,cancelled,201.5,564.75,There is an overall 6 ticket limit for this event.,KovZ917A-Tn
vv170ZbFGkMDd4OB,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-09,cancelled,249.5,589.5,There is an overall 6 ticket limit for this event.,KovZpZAEkn6A
G5dIZbFwIrgO8,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-16,cancelled,189.5,499.5,There is an overall 6 ticket limit for this event.,KovZpZAJJEdA
vvG1YZbFSrWgPY,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-17,cancelled,149.5,491.5,There is an overall 6 ticket limit for this event.,KovZpZAJ67eA
vvG1VZbFU3Rv5A,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-20,cancelled,145.5,485.5,There is a six (6) ticket limit for this event.,KovZpZAJtFaA
vvG1VZbFX9ZdVo,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-21,cancelled,145.5,485.5,There is a six (6) ticket limit for this event.,KovZpZAJtFaA
G5eVZbFMbObre,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-23,cancelled,129.5,429.5,No Limit,KovZpZA6AEIA
1AvfZbFGkRnDJIs,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-25,cancelled,129.5,429.5,There is an overall 6 ticket limit for this event.,KovZpaKuJe
1AdZZbFGkww3sSf,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-12-05,cancelled,149.5,489.5,There is a 6 ticket limit on this event,KovZ917AtP3
1AYZke8GkdyGvh8,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-12-06,cancelled,149.5,489.5,There is a 6 ticket limit on this event,KovZ917AtP3
vv177ZbFGkwEuVoY,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-12-08,cancelled,119.5,399.5,There is an overall 6 ticket limit for this event.,KovZpa2gne
vv178ZbFGkR05dgA,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-12-14,cancelled,144.5,485.0,There is an overall 6 ticket limit for this event.,KovZpa2M7e
G5dVZbor9h-KC,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-03-12,onsale,599.0,6599.0,"Limitado a 8 boletos por comprador. Por favor revisa los detalles de cada tipo de boleto, ya que en ocasiones éstos pueden contar con un límite distinto.",KovZpZAEeI7A
G5dVZboLnUfWx,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-03-13,onsale,599.0,6599.0,"Limitado a 8 boletos por comprador. Por favor revisa los detalles de cada tipo de boleto, ya que en ocasiones éstos pueden contar con un límite distinto.",KovZpZAEeI7A
G5dVZbonKI-2s,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-03-16,onsale,998.0,6599.0,"Limitado a 8 boletos por comprador. Por favor revisa los detalles de cada tipo de boleto, ya que en ocasiones éstos pueden contar con un límite distinto.",KovZpZA6IlFA
G5dVZbonEToPC,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-03-17,onsale,998.0,6599.0,"Limitado a 8 boletos por comprador. Por favor revisa los detalles de cada tipo de boleto, ya que en ocasiones éstos pueden contar con un límite distinto.",KovZpZA6IlFA
15v8ZboQFCZP4,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-03-19,onsale,998.0,8899.0,"Limitado a 8 boletos por comprador. Por favor revisa los detalles de cada tipo de boleto, ya que en ocasiones éstos pueden contar con un límite distinto.",KovZpZAd1IaA
1kAZv-AIGA5jYJo,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-03-21,onsale,998.0,8899.0,"Limitado a 8 boletos por comprador. Por favor revisa los detalles de cada tipo de boleto, ya que en ocasiones éstos pueden contar con un límite distinto.",KovZpZAd1IaA
1kAZv-AIGA5q8JQ,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-03-23,onsale,998.0,8899.0,"Limitado a 8 boletos por comprador. Por favor revisa los detalles de cada tipo de boleto, ya que en ocasiones éstos pueden contar con un límite distinto.",KovZpZAd1IaA
