Concert_Date,Venue_ID,Country,State,City,CheckIn_Date,CheckOut_Date
2025-05-22,KovZ917A25V,United States Of America,Michigan,Detroit,2025-05-21,2025-05-23
2025-06-22,KovZpZAE617A,United States Of America,Arizona,Phoenix,2025-06-21,2025-06-23
2024-11-03,KovZ917A-Tn,United States Of America,California,Palm Desert,2024-11-02,2024-11-04
2024-11-20,KovZpZAJtFaA,United States Of America,Florida,Miami,2024-11-19,2024-11-21
2024-11-16,KovZpZAJJEdA,United States Of America,Texas,San Antonio,2024-11-15,2024-11-17
2024-11-02,KovZ917A-Tn,United States Of America,California,Palm Desert,2024-11-01,2024-11-03
2024-11-23,KovZpZA6AEIA,United States Of America,North Carolina,Charlotte,2024-11-22,2024-11-24
2024-11-21,KovZpZAJtFaA,United States Of America,Florida,Miami,2024-11-20,2024-11-22
2024-11-09,KovZpZAEkn6A,United States Of America,California,Inglewood,2024-11-08,2024-11-10
2024-12-14,KovZpa2M7e,United States Of America,Illinois,Chicago,2024-12-13,2024-12-15
2024-11-17,KovZpZAJ67eA,United States Of America,Texas,Dallas,2024-11-16,2024-11-18
2024-11-25,KovZpaKuJe,United States Of America,District of Columbia,Washington,2024-11-24,2024-11-26
2024-12-05,KovZ917AtP3,United States Of America,New York,Brooklyn,2024-12-04,2024-12-06
2024-12-08,KovZpa2gne,United States Of America,Massachusetts,Boston,2024-12-07,2024-12-09
2024-12-06,KovZ917AtP3,United States Of America,New York,Brooklyn,2024-12-05,2024-12-07
2025-05-20,KovZpauRJe,Canada,Quebec,Montreal,2025-05-19,2025-05-21
2025-05-26,KovZpZAFFE1A,Canada,Ontario,Toronto,2025-05-25,2025-05-27
