Concert_Date,Venue_ID,Country,State,City,CheckIn_Date,CheckOut_Date
11/2/24,KovZ917A-Tn,United States Of America,California,Palm Desert,11/1/24,11/3/24
11/3/24,KovZ917A-Tn,United States Of America,California,Palm Desert,11/2/24,11/4/24
11/7/24,KovZpZAE617A,United States Of America,Arizona,Phoenix,11/6/24,11/8/24
11/9/24,KovZpZAEkn6A,United States Of America,California,Inglewood,11/8/24,11/10/24
11/16/24,KovZpZAJJEdA,United States Of America,Texas,San Antonio,11/15/24,11/17/24
11/17/24,KovZpZAJ67eA,United States Of America,Texas,Dallas,11/16/24,11/18/24
11/20/24,KovZpZAJtFaA,United States Of America,Florida,Miami,11/19/24,11/21/24
11/21/24,KovZpZAJtFaA,United States Of America,Florida,Miami,11/20/24,11/22/24
11/23/24,KovZpZA6AEIA,United States Of America,North Carolina,Charlotte,11/22/24,11/24/24
11/25/24,KovZpaKuJe,United States Of America,District of Columbia,Washington,11/24/24,11/26/24
11/30/24,KovZpZAFFE1A,Canada,Ontario,Toronto,11/29/24,12/1/24
12/5/24,KovZ917AtP3,United States Of America,New York,Brooklyn,12/4/24,12/6/24
12/6/24,KovZ917AtP3,United States Of America,New York,Brooklyn,12/5/24,12/7/24
12/8/24,KovZpa2gne,United States Of America,Massachusetts,Boston,12/7/24,12/9/24
12/10/24,KovZpauRJe,Canada,Quebec,Montreal,12/9/24,12/11/24
12/14/24,KovZpa2M7e,United States Of America,Illinois,Chicago,12/13/24,12/15/24
