Venue_ID,Venue_Name,Longitude,Latitude,Country,State,City,Address
KovZpZA6AEIA,Spectrum Center ,-80.839921,35.225222,United States Of America,North Carolina,Charlotte,333 East Trade Street
KovZpZAJJEdA,Frost Bank Center,-98.4337987,29.4330386,United States Of America,Texas,San Antonio,1 Frost Bank Center Drive
KovZpZAJtFaA,Kaseya Center,-80.187805,25.781232,United States Of America,Florida,Miami,601 Biscayne Blvd
KovZpZAEkn6A,Kia Forum,-118.341868,33.9583,United States Of America,California,Inglewood,3900 W Manchester Blvd.
KovZpaKuJe,Capital One Arena,-77.020029,38.897412,United States Of America,District of Columbia,Washington,601 F Street NW
KovZpZAE617A,Footprint Center,-112.071313,33.445899,United States Of America,Arizona,Phoenix,201 East Jefferson Street
KovZpZAJ67eA,American Airlines Center,-96.81081803,32.79067196,United States Of America,Texas,Dallas,2500 Victory Avenue
KovZpa2M7e,United Center,-87.67427375,41.88124412,United States Of America,Illinois,Chicago,1901 W Madison
KovZ917AtP3,Barclays Center,-73.97519,40.68285,United States Of America,New York,Brooklyn,620 Atlantic Ave
KovZpa2gne,TD Garden,-71.060724,42.365841,United States Of America,Massachusetts,Boston,100 Legends Way
KovZ917A-Tn,Acrisure Arena at Greater Palm Springs,-116.542747,33.825315,United States Of America,California,Palm Desert,75702 Varner Rd.
KovZ917A25V,Little Caesars Arena,-83.055434,42.341089,United States Of America,Michigan,Detroit,2645 Woodward
KovZpauRJe,Centre Bell,-73.570472,45.496129,Canada,Quebec,Montreal,1909 avenue des Canadiens-de-Montréal
KovZpZAFFE1A,Scotiabank Arena,-79.3783234,43.6439254,Canada,Ontario,Toronto,"50 Bay Street, Suite 500"
