"city","concert_date","checkin_date","min_budget","max_budget","ticket_min_price","min_hotel","hotel_name_for_min_price","ticket_max_price","max_hotel","hotel_name_for_max_price"
"Montreal ","2024-12-10","2024-12-09","146.5","4786.5","119.5",27,"Hygie Pod Hotel - Hostel","4344.5",442,"Fairmont The Queen Elizabeth Gold Experience"
"Charlotte","2024-11-23","2024-11-22","201.5","1078.5","129.5",72,"Royal Inn Charlotte Airport Hotel","429.5",649,"The Ritz-Carlton, Charlotte"
"Washington","2024-11-25","2024-11-24","204.5","999.5","129.5",75,"Motto by Hilton Washington DC City Center","429.5",570,"Waldorf Astoria Washington DC"
"Phoenix","2024-11-07","2024-11-06","210.5","1254.5","144.5",66,"Econo Lodge Phoenix North I-17","484.5",770,"The Global Ambassador"
"Miami","2024-11-20","2024-11-19","219.5","1161.5","145.5",74,"Up Midtown","485.5",676,"Four Seasons Hotel Miami"
"Boston ","2024-12-08","2024-12-07","221.5","1203.5","119.5",102,"Temple Place Suites","399.5",804,"Raffles Boston"
"Dallas","2024-11-17","2024-11-16","222.5","1175.5","149.5",73,"Serene Dallas Condo w/ Pool - Walkable Location!","491.5",684,"Hôtel Swexan"
"Miami","2024-11-21","2024-11-20","222.5","1197.5","145.5",77,"Up Midtown","485.5",712,"Four Seasons Hotel Miami"
"Chicago","2024-12-14","2024-12-13","230.5","931","144.5",86,"Ohio House Motel","485",446,"Trump International Hotel & Tower Chicago"
"Toronto ","2024-11-30","2024-11-29","236.5","1113.5","139.5",97,"The Rex Hotel","459.5",654,"The Hazelton Hotel Toronto"
"Brooklyn","2024-12-05","2024-12-04","253.5","1392.5","149.5",104,"NY Moore Hostel","489.5",903,"The Wall Street Hotel"
"San Antonio","2024-11-16","2024-11-15","254.5","842.5","189.5",65,"WoodSpring Suites San Antonio UTSA - Medical Center","499.5",343,"La Cantera Resort & Spa"
"Palm Desert","2024-11-03","2024-11-02","277.5","4404.75","201.5",76,"Rodeway Inn & Suites Thousand Palms - Rancho Mirage","564.75",3840,"Villa Verbena by Avantstay Expansive Estate w/ B-ball Court, Pool/spa & Entertainer's Yard"
"Palm Desert","2024-11-02","2024-11-01","286.5","4425.75","201.5",85,"Rodeway Inn & Suites Thousand Palms - Rancho Mirage","564.75",3861,"Villa Verbena by Avantstay Expansive Estate w/ B-ball Court, Pool/spa & Entertainer's Yard"
"Brooklyn","2024-12-06","2024-12-05","310.5","2986.5","149.5",161,"Super 8 by Wyndham Brooklyn Fulton Street/Broadway Junction","489.5",2497,"Holiday Inn Express New York City- Wall Street, an IHG Hotel"
"Inglewood","2024-11-09","2024-11-08","334.5","866.5","249.5",85,"Royal Century Hotel","589.5",277,"Four Points by Sheraton Los Angeles Westside"
