,Event ID,Concert Name,Date,Ticket Sale Status,Ticket Min Price,Ticket Max Price,Ticket Limitation,Venue ID
0,vvG1IZbFSkKfhJ,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-02,onsale,201.5,564.75,There is an overall 6 ticket limit for this event.,KovZ917A-Tn
1,vvG1IZbFTpcNCA,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-03,onsale,201.5,564.75,There is an overall 6 ticket limit for this event.,KovZ917A-Tn
2,1Av0ZbFGkTIDVAd,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-07,onsale,144.5,484.5,There is an overall 6 ticket limit for this event.,KovZpZAE617A
3,vv170ZbFGkMDd4OB,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-09,onsale,249.5,589.5,There is an overall 6 ticket limit for this event.,KovZpZAEkn6A
4,G5dIZbFwIrgO8,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-16,onsale,189.5,499.5,There is an overall 6 ticket limit for this event.,KovZpZAJJEdA
5,vvG1YZbFSrWgPY,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-17,onsale,149.5,491.5,There is an overall 6 ticket limit for this event.,KovZpZAJ67eA
6,vvG1VZbFU3Rv5A,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-20,onsale,145.5,485.5,There is a six (6) ticket limit for this event.,KovZpZAJtFaA
7,vvG1VZbFX9ZdVo,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-21,onsale,145.5,485.5,There is a six (6) ticket limit for this event.,KovZpZAJtFaA
8,G5eVZbFMbObre,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-23,onsale,129.5,429.5,No Limit,KovZpZA6AEIA
9,1AvfZbFGkRnDJIs,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-25,onsale,129.5,429.5,There is an overall 6 ticket limit for this event.,KovZpaKuJe
10,1AvZZbFGkRDEKcW,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-30,onsale,139.5,459.5,There is an overall 6 ticket limit for this event.,KovZpZAFFE1A
11,1AdZZbFGkww3sSf,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-12-05,onsale,149.5,489.5,There is a 6 ticket limit on this event,KovZ917AtP3
12,1AYZke8GkdyGvh8,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-12-06,onsale,149.5,489.5,There is a 6 ticket limit on this event,KovZ917AtP3
13,vv177ZbFGkwEuVoY,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-12-08,onsale,119.5,399.5,There is an overall 6 ticket limit for this event.,KovZpa2gne
14,1Ad7ZbFGkmFYsMD,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-12-10,onsale,119.5,4344.5,Il y a une limite de 6 billets pour cet événement - There is a 6 ticket limit on this event.,KovZpauRJe
15,vv178ZbFGkR05dgA,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-12-14,onsale,144.5,485.0,There is an overall 6 ticket limit for this event.,KovZpa2M7e
